,Academic researcher,Blockchain,Cloud infrastructure engineer,Data or business analyst,Data scientist or machine learning specialist,DevOps specialist,Developer_back-end,Developer_desktop or enterprise applications,Developer_embedded applications or devices,Developer_front-end,Developer_full-stack,Developer_game or graphics,Developer_mobile,Engineer_data,Engineer_site reliability,Scientist,full_stack_.NET,full_stack_Java,full_stack_.JavaScript,full_stack_PHP,full_stack_python,back_end_Java,back_end_.JavaScript,back_end_.NET,back_end_C++,back_end_python,back_end_PHP
APL,4.064712042166196,0.8716016429144141,0.5481525826767428,1.2108098334187507,,,,,,,,,,,,1.70108236280075,,,,,,,,,,,
OCaml,3.027766011242121,2.613085189040828,,,,,,,,,,0.6035900522521558,,,,0.5166192388108679,,,,,,,,,1.274994150916105,,
MATLAB,2.782764682676093,,,,1.3494226231476372,,,,1.5201817693969932,,,,,,,3.160918830168132,,,,,,,,,,,
Julia,2.649901468350708,,,,1.883449855696317,,,,,,,,,,,3.486084132829302,,,,,,,,,,,
LISP,2.591479016645295,,,,0.7484521447504443,,,,1.7627085639404316,,,0.9344855373777524,,,0.7110802142810725,2.034375556783981,,,,,,,,,1.0199836797039117,,
Haskell,2.356517802360575,2.9634453682256754,,,0.6955552085099677,,,,,,,,,,,0.5050393716323501,,,,,,,,,1.522983599856147,0.6393205733871052,
Fortran,2.320042660987782,,,,,,,,,,,,,,,4.307768793897458,,,,,,,,,,,
Tidyverse,1.8448965062343956,,,2.0394968830048894,2.9950193795902025,,,,,,,,,0.7205719322532071,,2.3288696907966866,,,,,,,,,,,
R,1.806783390985408,,,2.2539886479051066,2.941389839508673,,,,,,,,,0.8631615695594936,,2.114020613888546,,,,,,,,,,,
RStudio,1.726667678400022,,,2.3785660922491565,2.982696313195276,,,,,,,,,0.8196787979275867,,2.030469715268797,,,,,,,,,,,
Torch/PyTorch,1.6596681483796836,,,,4.077134636270546,,,,,,,,,0.9556548792368124,,1.4550211717097563,,,,,,,,,,,
Emacs,1.6577915229568767,1.14858817297632,0.5737268671101835,,0.5744250973510225,,,,1.185971627058002,,,,,,1.489877387633685,2.082369641738784,,,,,,,,,1.024152341092924,0.5833527812688225,
NumPy,1.5641099920209327,,,1.1159761807552788,3.358773010614581,,,,,,,,,1.4163848590228545,,1.736863770193295,,,,,0.737353440263381,,,,,,
TensorFlow,1.427402408197903,,,0.7105081236105705,4.116473190447726,,,,,,,,,1.089195586345863,,1.2278942442182197,,,,,,,,,,,
Keras,1.4009097209659025,,,0.814057656613426,4.2157375455820665,,,,,,,,,0.9667832651771686,,1.213815966643791,,,,,,,,,,,
Scikit-learn,1.3759662127090289,,,1.1063279271087367,3.950639578063642,,,,,,,,,1.225140407460892,,1.4737498579764816,,,,,,,,,,,
GTK,1.323896218596987,,,,,,,0.5596833626937611,3.5381713878848062,,,1.198982106469906,,,,1.2788057000665776,,,,,,,,,1.1482181927066335,,
Spyder,1.2405365477008976,,,2.4596176358152158,2.952187033863483,,,,,,,,,1.26353058747365,,1.8898185075300027,,,,,,,,,,,
Pandas,1.1932464730886296,,,1.5327364275135371,3.3467179122851616,,,,,,,,,1.916147497131044,,1.2226187702553002,,,,,0.7462013988152687,,,,,,
Hugging Face Transformers,1.165660891402264,,,,4.610002539901281,,,,,,,,,0.7334290894184371,,0.7752206357891125,,,,,,,,,,,
IPython/Jupyter,1.1511426623033698,,,1.6574058382846275,3.5529095778147344,,,,,,,,,1.6229989053380007,,1.3331926189467924,,,,,,,,,,,
TextMate,0.9604751751033234,,,,,0.9956911666502072,,,,,,0.5913382293013459,2.7751315298607118,,,,,,,0.5828609607874683,,0.7741057207012522,,,0.7346018980778569,0.6890541960357462,1.037337204588316
Qt,0.8858770727363482,,,,,,,1.307461915880496,3.725811980848656,,,1.8039369937422167,,,,1.243552184303237,,,,,,,,,,,
Assembly,0.837853520342509,,,,,,,,4.330707422390228,,,1.509945018987754,,,,,,,,,,,,,0.7823292410658843,,
IBM Cloud or Watson,0.7920891906850651,1.4699746457624292,1.7561893998416436,1.728283800934323,1.565056760105242,,,,,,,,,,0.9572887218702938,,,,,,1.0248771638465048,,,,,,
C,0.6952032899057349,,,,,,,,4.344225595478485,,,1.0508173645812189,,,,0.5039963227528262,,,,,,,,,1.3770450410318766,,
C++,0.6144333563728144,,,,,,,0.7609417555388122,3.437541446625752,,,2.416331865540682,,,,0.7746870627973795,,,,,,,,,1.432092313148314,,
Python,0.5720052225105617,,,,1.9923951981894277,,,,0.7131960526776355,,,,,1.3257372168019772,,0.5677931391821179,,,,,2.4564292657347124,,,,,1.8916562035783109,
Solidity,,5.0598120872803865,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,,3.725104080800192,,,,,,,,0.9331230699599268,,,1.904289814785427,,,,,,0.9216992014770836,,0.7832326440735214,,,,,,
Rust,,3.2587698765355,0.7084260789785224,,,,,,1.9344785128251936,,,1.1111542217550148,,,0.5575729213479758,,,,,,,,,,1.148448627557884,0.5700282066020813,
CouchDB,,2.87732519295164,,,,1.2519585965523463,,,,,,,,,0.9547599612920308,,,0.9059225542427876,0.9715508182531686,0.5823171694189265,0.7389533701932746,,0.7483345535716486,,,,0.634173211288909
Fastify,,2.1578530645967127,,,,,,,,0.9308989342134196,0.8835746138057989,,,,,,,0.660223556038569,2.437748105142622,1.1898232722249562,0.7180323519084776,,1.5021957551244551,,,,
Neovim,,1.753159595939075,1.0462844553670734,,,0.9707685500082942,,,1.2592719872755525,,,,,,1.715689306331122,,,,,,,,,,1.9684492964495368,0.8586826415832707,
Next.js,,1.706875400467566,,,,,,,,1.8924636698738315,0.8601474648564447,,,,,,,0.756727795517805,2.559769666645528,0.9391983079587668,1.104712974398841,,1.0153410461240095,,,,
DigitalOcean,,1.6497418572109874,,,,0.5269183026231212,,,,,0.50744713920004,,,,0.5999587344288734,,,,1.4661925133138405,1.4713678802768435,1.3099970606610107,,1.1711847867697616,,,0.7084385096116339,1.1390913488189338
Yarn,,1.5043540518438607,,,,,,,,1.446487608287616,0.7708094855422454,,,,,,,0.8232103549106589,2.37611191085563,0.9896595960062216,0.990886275073405,,1.6154032075455889,,,,
Colocation,,1.4110131634055156,1.4690630160019993,,,1.266587401204183,,,,,,,,,3.8836849210927737,,,,,,,,,,0.7163838409042707,,
Linode,,1.153412813591728,0.6315505689741813,,,0.6558080674120474,,,,,,,,,1.4898875887266965,,,,0.83771230590357,1.2241928708692214,1.2682723785642032,,0.9154385425818368,,1.0423001159285152,1.1466792614949108,0.8549470844688786
Atom,,1.1383646733286237,,0.5799489444888536,,,,,,,,,1.195077549254397,,,,,1.2183995079963983,,1.2240332319615714,1.158257081543821,0.7767205178851155,0.5653991587497539,,0.7441140138007948,0.542462283017078,1.4618453837086482
CLion,,1.0696247475812366,,,,,,,3.1496423250548338,,,2.192462981412145,,,,,,,,,,0.5684776727751553,,,1.543231443551926,0.612413021800494,
Elixir,,0.9790062645636968,0.6946747466858131,,,,1.2354942127055992,,,,0.9568647197415228,,,,1.855989773008124,,,,1.1423734675775552,,0.6562727929421511,,1.063112607965453,,1.46713295723083,0.8135693265253096,
Homebrew,,0.9622860893799972,1.1512809706576996,,,,,,,,,,1.3166696116769796,,0.9597620045967432,,,0.5917752805080225,1.34718834273542,,0.8113438991655787,0.6724471820407798,1.2276254784688323,,0.6542567846766408,0.6133910868720854,
Deno,,0.9417548526095916,,,,,,,,1.5337869536806386,0.9316230018085118,,,,,,,0.9260216167588906,2.474809625319757,0.9983945200272712,0.9984011171288656,,1.5084013423509686,,,,
Gatsby,,0.9194602859554024,,,,,,,,2.32622095771889,0.8963084056583654,,,,,,,0.7276387190339331,2.518220500920496,1.19125166001986,1.342249976735422,,0.8041896274077595,,,,
Express,,0.8774409306077331,,,,,,,,1.1721179328727025,0.7961067505244921,,,,,,,0.8905533298502109,2.6345091123668194,1.1732709362801987,1.184839615391698,,1.7116116804695911,,,,
GoLand,,0.8439398351334642,2.0881497382596583,,,1.1364394020366666,0.6479387604201533,,,,,,,,2.0609650408488345,,,,,,,1.3481461083586472,0.710245136274616,,1.0370652429172649,1.246480600577061,0.6330622776441991
Heroku,,0.8039039876219382,,,,,,,,1.1789354046420415,0.7248039026478913,,,,,,,0.8205849370823085,2.057221705907578,1.184106383544099,1.594488524816733,,1.4120108572251144,,,0.5964367696242181,0.8613246113986945
Phoenix,,0.7844717982875941,0.5200208529558319,,,,1.5755076319550476,,,,1.366985441600239,,,,1.3708676395843822,,,,1.172724466453298,,0.5573951010441051,,1.0775982542914175,,1.592936920180894,0.7172777727492623,0.6046604064230661
React.js,,0.7698914092205807,,,,,,,,1.519056374076355,0.9498875990776324,,,,,,0.6448684219893883,1.0777314991283045,2.4613582891896173,0.8837607869173073,1.2709526848845585,,1.4843864396781865,,,,
Go,,0.75759663192208,2.122437542992288,,,1.255866882585808,,,,,,,,,2.760365676841145,,,,,,,0.5348646864249573,0.677156735648974,,0.9363251301390256,0.8942150882612154,
OVH,,0.7431787634931118,,,,0.6150501875436897,,,,,,1.3033786169989878,,,1.1648714316768498,,,1.0767217238089082,0.9277617669377898,1.6797434853188995,0.9335823170361068,,0.808811701577228,,0.6985063524129319,0.586401043373708,1.1474503814767514
MongoDB,,0.7217333326269775,,,,,,,,,,,,,,,,0.858392392829409,2.2279341293220187,1.0079053618396558,1.061383948534964,,1.945865266078352,,,,0.8620493173222118
Node.js,,0.7027733698018771,,,,,,,,1.0979172505490071,0.7861082900316293,,,,,,0.5144263907479787,1.0099804892912123,2.4920441443073784,1.1544563558614296,1.0867902541817112,,1.8132127324697849,,,,
Webstorm,,0.7019107780609277,,,,,,,,1.3446006889910609,0.6330439824971167,,,,,,,2.028919424596026,1.5742856338428617,0.9649566718535808,1.2814057531221137,0.5901152529643292,1.2864156953093642,,,,
Svelte,,0.6778349541352489,,,,,,,,2.0066393209410225,1.032604440500103,,,,,,,0.8874814334923423,2.179857778374876,1.156868767200885,1.4502913713069594,,1.0041252654554522,,,,
Erlang,,0.6732776083895392,1.2231520275951333,,,,0.9975806792819458,,,,,,,,2.6974327410060823,,,,,,,0.6884005799114313,0.7631163726604951,,2.10754845915021,0.9510250200940368,
PostgreSQL,,0.6416789499654201,0.792466279967116,,,0.6270631985519473,0.5919527521177388,,,,,,,,0.5076196734026254,,,0.8638406011390758,0.9004478547982644,,1.2795997663371037,0.9753214891264232,1.2065715784811242,,0.8298342837080503,1.2564374679083756,0.5215073275502491
TypeScript,,0.6281109954038941,,,,,,,,1.4174992079382132,1.0012741589305918,,,,,,1.250727489738387,1.1776472419902515,1.8217027007137565,0.9032877873716806,0.9747208427610076,,1.6372721358006943,,,,
React Native,,0.6034699880618122,,,,,,,,1.255682421556009,0.6540656497494223,,2.536863786567477,,,,0.6354591333278163,0.9841794218315736,1.944583753883716,0.986617101208111,1.1568722375855116,,0.7191294142912062,,,,
Cloud Firestore,,0.5345621658401686,,,,,,,,0.8464953989716526,,,3.804544789327256,,,,,0.7511573427385028,1.2102184633517097,0.6681198425511117,0.9439399238810604,,,,,,
AWS,,0.5250949206644501,1.948343576052144,,,0.6861297699072093,,,,,,,,0.677724673259127,1.0337434812924453,,,,0.8720346900004118,,0.6125735716791842,0.7934680052330728,1.1425715428934264,,0.5235449042507836,0.7690225390701322,0.6319730205408187
DynamoDB,,,3.190643071915356,,,0.7479756628662948,,,,,,,,,1.5148850785054446,,,,0.5600128653977756,,,0.8437784989121933,1.0136063857274416,,,0.5799237751653784,
Pulumi,,,2.9136079007376487,,,2.2695130047176533,,,,,,,,,2.6137156898763543,,,,,,,,,,,,
Terraform,,,2.805073533298384,,,1.969359068476561,,,,,,,,,2.825810713748967,,,,,,,,,,,,
OpenStack,,,2.5334007230651285,,,2.043281533612358,,,,,,,,,3.1854649216517967,,,,,,,,,,0.5013906337239021,,
Oracle Cloud Infrastructure,,,2.288331970950883,1.4977975451761063,,1.55808332159316,,,,,,,,1.3951801652810714,1.48931339693106,,,,,,,1.081334335010517,,,,,
Bash/Shell,,,1.9661743247683343,,,2.184604520926601,,,1.2949625156953817,,,,,,2.2290768156797447,,,,,,,,,,1.2047114777776864,0.6002158404503062,
Kubernetes,,,1.963853159877976,,,1.811791379780825,,,,,,,,,2.1894940233064597,,,,,,,1.017904670630568,0.7787805721110573,,0.6146071135696568,0.6354690249631506,
Puppet,,,1.8746950366891435,,,2.27273715049448,,,,,,,,,3.151504560611273,,,,,,,,,,,,
Chef,,,1.868726810022678,,,2.008027245321633,,,,,,,,,3.747818146739639,,,,,,,,,,,,
Ansible,,,1.782767929598282,,,2.693956218697496,,,,,,,,,3.276121166655192,,,,,,,,,,,,
Google Cloud,,,1.7649458355555725,,0.756863896665697,0.5252592115539291,,,,,,,,1.3378299115070609,1.619654698304268,,,,0.8162980346494983,,0.96370190315556,,0.7540789335342004,,,0.6554360372507331,
Couchbase,,,1.7335195245154622,,,0.6639826659411527,0.5400117548516759,,,,,,,0.8381798999694053,2.5248628320895965,,,0.5943832005438794,,,,1.4056531791137787,,,1.010799737529989,0.7180926270516343,
Groovy,,,1.3581993582874647,,,2.8354948800643087,,,,,,,,,1.3838819739690535,,,1.3274547967007198,,,,2.017054182393798,,,0.6115204537196618,,
Docker,,,1.353474749463545,,,1.283565343831784,,,,,,,,,0.93800028368202,,,0.6371246442653503,0.7643903831732216,,0.7258261755847021,0.8834358910976656,1.2058809628987184,,0.748463847612208,0.9258619248048912,0.6232867848006722
Elasticsearch,,,1.3318061284907572,,,1.3946613206423006,,,,,,,,0.5015448788637211,2.149808308747025,,,,,,,0.9160529827654468,1.044369092178741,,0.5951266342215118,0.7587337936013707,0.9367706857624862
Cassandra,,,1.0550782911163643,,,0.5082702284091298,,,,,,,,1.6030184326592027,2.122072917593825,,,,,,,1.883292139772911,0.7005673852069209,,0.8653436653234752,0.7886693091123956,0.6985839966841223
Redis,,,1.0432072424609424,,,0.8834652742468722,0.6158412286422176,,,,,,,,1.3787016421597784,,,,0.8135349420145451,0.5048645753613942,0.637197952149333,0.6013680853697895,1.4463120572819743,,0.7755604830375545,1.0750249701350008,1.1049806299970852
Apache Kafka,,,0.9806227060871908,,,0.5761602277013043,0.7062639336688116,,,,,,,2.2071223415072416,1.0804199038656608,,,,,,,2.2701057136319056,0.7644892352932701,,0.8966284979171083,0.7581282299232445,0.5508343734629083
Clojure,,,0.92856484892567,,,,1.095425916006246,,,,,,,1.7992685726593478,0.8554804485708893,,,1.5637557627590832,,,,2.3358701877438235,,,1.0306918057587502,,
Vim,,,0.8576984912285682,,,0.947516270711146,,,0.8338921224065006,,,,,,1.4768996659806872,,,,,,,,,,3.714580836703363,0.6186994810429943,
Microsoft Azure,,,0.8127632601379461,,,0.993344304901001,,,,,,,,,,,2.8301515488646025,,,,,,,3.0323710339678493,,,
Play Framework,,,0.7898934009636117,,,,,,,,,,,0.9012409759288592,0.6658601311301412,,,2.038479273275754,,,,2.88373954267136,0.629821602591015,,0.9003650809627876,0.5923346041604298,
Ruby,,,0.7753499491585187,,,0.8376753693698409,0.5333547447125089,,,,0.9402847894565468,,,,2.351402615167776,,,,1.3254583720693132,0.9787712813161988,0.7434072157939132,,0.7936925863548253,,1.0496717812738603,,0.7395634319680237
Perl,,,0.7587297353284898,,,0.8599995188610999,,,1.252474273436743,,,,,0.6471440251200521,2.634133844145931,,,,,,,,,,2.2384040895704223,0.8293547723425861,0.6214494507601475
Neo4j,,,0.7578833911359635,,1.913140073680015,,,,,,,,,2.359047942757557,,,,,,,0.5914732804975829,1.0026436892717816,0.9289408898619504,,,,
Nano,,,0.7195370599959794,,,1.589856737364391,,,1.6274048783782933,,,,,,,,,0.5447083540478781,,0.8028467720462386,1.3077991602777477,,1.0765522704917208,,0.7068152901597781,1.1187701358530735,0.9327553683760832
PowerShell,,,0.7160549279321701,,,1.9038143390363569,,0.944173959397306,,,,,,,,,2.398769679822488,,,,,,,2.75097280923706,,,
RubyMine,,,0.6916666764018824,,,0.6596187971967875,0.8321904788188931,,,,0.6739094496691892,,,,,,,1.2992379346379352,1.0597314027708176,0.9968465004218068,0.8077992108798986,1.175622700432735,1.0406667851305478,,0.8237350650956702,0.828913107240181,1.4528111854879249
FastAPI,,,0.6244051139705067,,2.3260799590618464,,,,,,,,,1.8729029437481832,,,,,,,1.6602356499436572,,,,,2.1814221452042304,
Scala,,,0.6201905849063608,,0.8334047594092391,,,,,,,,,3.919470954730832,,,,,,,,1.7767668194511668,,,0.5688405207137693,,
VMware,,,0.5885010601862397,,,2.2369235159501275,,1.1876673936469286,,,,,,,1.373241069870602,,0.8072626158161899,0.9081620241935848,,0.9246167997972248,0.5202465306451923,,,0.5389456049671318,0.6836189664908544,,0.8528883470216623
Flask,,,0.5551527371525804,,2.2566986366812563,,,,,,,,,1.5021238745385035,,,,,,,2.4500314539713224,,,,,1.9102070236650013,
VBA,,,,3.814836644629682,,,,1.4691860110046715,,,,,,1.08589984745758,,,1.1965435860692688,,,,,,,1.201172328039669,,,
SAS,,,,2.8350379241044394,3.585333759289698,,,,,,,,,0.767814391028998,,,,,,,,,,,,,
IBM DB2,,,,2.5962413402271083,,,,1.396640406692883,,,,,,0.5436300857500557,,,,1.4862355858903729,,,,1.996444592967576,,0.5609202932942002,,,
Crystal,,,,2.118741588759077,,0.5818357002874013,,0.6100335336448343,,,,,,,1.1694986910070124,,0.6615581407497563,,,,,,,1.4993512207919928,1.655236080185603,0.5579298872572562,
COBOL,,,,2.0987862785738147,,,,3.1902783454568056,,,,,,,,,,,,,,1.295577480413029,,0.6655500233068773,1.1137844030132822,0.5764807822664927,
Hadoop,,,,1.7408027387982783,2.2582955980675683,,,,,,,,,3.719355000760421,,,,,,,,,,,,,
Oracle,,,,1.3163354057109895,,,,1.21954656919853,,,,,,0.7299972327541276,,,,1.940530129849945,,,,2.077979708014462,,0.8572599684451424,,,0.8669921910700238
Apache Spark,,,,1.2042262847186909,2.1438543813064075,,,,,,,,,4.030442046298871,,,,,,,,,,,,,
Delphi,,,,0.9895881652702252,,,,4.556253461425745,0.9061598598248544,,,,,,,,,,,,,,,,,,
RAD Studio (Delphi_C++ Builder),,,,0.8630852403574969,,,,4.573334541093948,1.0657746834333914,,,,,,,,,,,,,,,,,,
SQL,,,,0.7541603241748097,,,,,,,0.5343165190329642,,,0.7154028832752943,,,1.3904672276875354,0.7799428240075617,,1.1957989337503612,0.7310961293528742,,0.7665425061526031,1.1687485914048803,,0.5739846079005644,1.1518990925080068
Microsoft SQL Server,,,,0.6833433358173346,,,,1.0492867537852124,,,,,,,,,3.019787214435037,,,,,,,2.9766934751189496,,,
Notepad++,,,,0.5286629933212537,,,,1.923753053103136,0.8451369506289735,,,,,,,,2.031603074850608,0.6834780619390721,,,,,,2.3414350280654346,,,
PyCharm,,,,,2.22112722796835,,,,,,,,,1.6349089415825329,,,,,,,2.2501458667914944,,,,,2.330676391605386,
Managed Hosting,,,,,,1.1801482538952668,,,,,0.5954549367111146,,,,0.8795497590056017,,,0.633245300257377,0.9340013317959244,2.300071272757158,0.5353275221059914,,0.7330319648085761,,0.5810715943509144,,2.0170970862476385
Drupal,,,,,,0.7178187461793838,,,,0.8719656116440114,0.6601500869386604,,,,,,,,0.7221618208735149,2.574751868998177,0.6097306688660674,,0.7143326844835151,,0.7405259029293906,,2.4088826902307874
MariaDB,,,,,,0.5502309863716558,,,,,,,,,,,,0.7074339717841497,0.5247861807157777,2.470631543025978,0.6369798651425351,,0.8184564582568361,,,,2.9178452266563517
Ruby on Rails,,,,,,,0.715130150741383,,,,1.3254047304490435,,,,1.3928799162186798,,,,1.761750011070551,1.3563611148771386,0.8112495987679569,,1.155860101449233,,1.0597408242348247,,1.0497412005803992
Spring,,,,,,,0.6738557021886578,,,,,,,,,,,2.385689216570002,,,,3.3183841231231503,0.7008117544367299,,0.6362804821286384,,0.8180247035590994
Uno Platform,,,,,,,,2.899285852691807,,,,0.7350966887129315,1.820268840520469,,,,2.073758799325212,,,,,,,1.885728633775897,,,
Xamarin,,,,,,,,1.5467949873602749,,,,,1.9319740909668317,,,,2.6550849997268022,,,,,,,2.439155774014154,,,
Qt Creator,,,,,,,,1.5424282720580815,4.116048760630032,,,1.6770906264512302,,,,0.5392191717048375,,,,,,,,,,,
Visual Studio,,,,,,,,1.4495744177457006,,,,1.2153812979460876,,,,,2.879999244761404,,,,,,,2.986914644692115,,,
.NET,,,,,,,,1.2268001830005424,,,,0.5324850599268135,,,,,2.946291136054044,,,,,,,3.2738173655822007,,,
Blazor,,,,,,,,1.1806501976146162,,,,,,,,,3.217952766631824,,,,,,,2.962766841991214,,,
C#,,,,,,,,1.0665731122029716,,,,1.2358539124922725,,,,,2.953009239622535,,,,,,,3.0676913524588683,,,
F#,,,,,,,,0.9822472712696324,,,,,,,,,2.560253123265811,,,,,,,3.581227008857581,,,
ASP.NET,,,,,,,,0.7384914380813189,,,,,,,,,3.305382618871441,,,0.5675770210624675,,,,2.9310286026289414,,,
Eclipse,,,,,,,,0.6410088119857926,1.746051414578102,,,,,,,,,2.668587044939829,,,,2.389135764683407,,,0.6996781905062636,,0.843487712155071
ASP.NET Core ,,,,,,,,0.5902359370646353,,,,,,,,,3.1596262365883723,,,,,,,3.1754351852137503,,,
Lua,,,,,,,,,1.588331840019286,,,4.048887329978204,,,1.2337324065097897,,,,,,,,,,1.0011508145954593,,
Objective-C,,,,,,,,,0.6725261929625823,,,1.4830890959913243,4.646178676133529,,,,,,,,,,,,,,
Nuxt.js,,,,,,,,,,1.8410260954028888,0.7771878765744694,,,,,,,0.596339527498375,1.837684267908593,2.315806980405089,1.1550741436120204,,1.0077132041622217,,,,1.0385721924404705
Ionic,,,,,,,,,,1.683874781914941,0.6806725164395229,,2.6722870347871406,,,,1.1266614487098814,1.1662048173302115,1.2358913527187712,1.4567442348967463,0.5311573842900789,,0.5346011035368515,,,,
Capacitor,,,,,,,,,,1.6808167224074813,0.7436400115769713,,3.2137329255770224,,,,0.9699364419310936,0.8635779539390576,1.1901667167723786,1.3330041486611983,,,,,,,
HTML/CSS,,,,,,,,,,1.6036093582995683,1.2071244823308598,,,,,,1.4302084551090115,1.1542519777037643,1.5790118657077288,1.7473686631938572,1.2821524154011692,,0.8052248383026336,,,,0.7038832037895449
JavaScript,,,,,,,,,,1.3481501562900775,1.1084183488356811,,,,,,1.0731344822014492,1.116253475526472,1.6038454821135328,1.5285211980669149,1.2105848548781988,,1.2309900360896655,,,,0.780277236818097
npm,,,,,,,,,,1.258950760792653,0.917725357166674,,,,,,0.8716541559548512,1.1265355432169053,1.7957810682389823,1.225595681999362,1.0841734504444671,,1.848608560208188,,,,0.5084958787154286
Angular,,,,,,,,,,1.2435940588783527,0.9634733945891722,,,,,,2.0166251073458805,1.7669552920171678,1.0759892176625994,1.0588584666218526,0.6917527250194256,,1.06363687825164,0.9866471863357515,,,
Cordova,,,,,,,,,,1.1958732542323736,0.6278597515194051,,3.1888959747359737,,,,1.055464284607331,1.138853412137936,1.0652122740886334,1.5712342845184295,,,,,,,
Vue.js,,,,,,,,,,1.0750446842824757,0.8128173893734414,,,,,,0.6289598176287806,0.8247719409444344,1.2564174429540913,2.7127661828719187,1.1180962089689832,,0.877447857119744,,,,1.6113927257210678
Electron,,,,,,,,,,1.0357160962227927,0.7998804206577973,,,,,,1.1221309561362491,1.3399035190576527,2.277403917371321,1.4738837110523,1.6483020799477874,,0.8971662148796642,,,,
Firebase,,,,,,,,,,1.0274041021446936,,,3.94813107163162,,,,,0.6334059011058889,1.0224533627824166,0.7121855248096122,0.652511764167882,,,,,,
Firebase Realtime Database,,,,,,,,,,1.026577248245742,,,3.8211450149664903,,,,,0.7579045804802653,1.0655278449526324,0.8395828247883905,0.7911022126923658,,,,,,
Visual Studio Code,,,,,,,,,,0.9888730276383616,0.7131097458363016,,,,,,1.5234953024795448,,1.4694722714160846,0.8704066349134377,0.986405484366468,,1.2504998281135666,1.258454587454536,,,
Angular.js,,,,,,,,,,0.8888386930864681,0.7827169424149952,,,,,,1.9522784189212048,1.579824705721201,1.2334867579662645,1.6252972393870222,0.7159750270036901,,0.8933855946669221,0.861266517759175,,,0.8879224306295223
PHP,,,,,,,,,,0.6065630137054016,0.695900616444486,,,,,,,0.6457595259142496,0.7983892884987319,2.8437715408068285,0.6646876539459837,,0.7550052942238245,,,,2.588663829375933
jQuery,,,,,,,,,,0.6014698379278872,0.8086626743452645,,,,,,1.430499110075924,0.9087206028941112,0.7385160502233021,2.656068746214556,0.8294892760352057,,0.6085716163366764,0.5644826621162394,,,1.9220506712897312
Laravel,,,,,,,,,,,0.7403881269319976,,,,,,,0.5995597820638351,0.967730788881282,2.69112745725768,0.6312721122712416,,1.054885281852007,,,,2.54592535601743
Symfony,,,,,,,,,,,0.5875051266864624,,,,,,,0.5661571559922827,0.8350783070716923,2.3144391690816333,,,1.05952087642457,,0.5862979721195244,,2.93317585707657
PhpStorm,,,,,,,,,,,0.5621787334532663,,,,,,,0.7681784705304902,0.654803063028835,2.385353662679916,,,1.0090435657811994,,,,2.9107977299385217
Unreal Engine,,,,,,,,,,,,4.994054043738165,,,,,,,,,,,,,,,
Unity 3D,,,,,,,,,,,,4.914509650967103,,,,,,,,,,,,,,,
Rider,,,,,,,,,,,,2.83500516475393,,,,,1.9969628138748323,,,,,,,2.7982253606037024,,,
Xcode,,,,,,,,,,,,0.7785839458884497,4.740876844036392,,,,,,,,,,,,,,
Swift,,,,,,,,,,,,,4.958821121675955,,,,,,,,,,,,,,
Dart,,,,,,,,,,,,,4.506291526602467,,,,,0.7170175167355449,,,0.5740631082661629,,,,,,
Android Studio,,,,,,,,,,,,,4.493693917496928,,,,,0.8389769309196916,,,,,,,,,
Flutter,,,,,,,,,,,,,4.337287989933466,,,,,0.821602125778298,0.5617928488351498,0.533644924258227,0.7065129589880504,,,,,,
Kotlin,,,,,,,,,,,,,4.119472705208628,,,,,1.3136169534890811,,,,1.6371300860061733,,,,,
SQLite,,,,,,,,,,,,,2.733964942030892,,,,,,,,1.2073280831736288,,,,0.7317321958700046,2.914835389516176,0.6043007544588275
NetBeans,,,,,,,,,,,,,0.9396742948467272,,,,0.82369113098773,2.3240571704398394,,1.3555628819780796,0.5131909021212195,1.4064239566328909,,0.5958698579727159,0.660067656529788,,1.5536791481192795
Sublime Text,,,,,,,,,,,,,0.8940084007056778,,,,,1.022898363760195,,1.3839654826959396,1.1064287231128196,1.192819861396368,0.8930932754513186,,1.16387885592634,1.257606427449926,2.280596291675037
Java,,,,,,,,,,,,,,,,,,2.9359547118524567,,,,3.212285368230129,,,0.5706284966233316,,0.5109472519439598
IntelliJ,,,,,,,,,,,,,,,,,,2.795088538785585,,,,3.304351177724381,,,,,
MySQL,,,,,,,,,,,,,,,,,,0.8577278905303553,0.6713628834120973,2.481855146946751,0.6008713753690472,0.5218484175330959,0.7507419376400785,,,,2.8968608327287813
Django,,,,,,,,,,,,,,,,,,,,,3.486698401414966,,,,,2.477813200503092,0.5669956243260971
